"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Harry Potter","But...why here?"
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Hello, Harry dear."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Mrs. Weasley!"
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Sirius, the meeting is about to start!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Right."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Harry, dear, go on upstairs-— quietly, if you please. They're all up there."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Let him breathe, Hermione!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Oh, Harry! We've missed you! Are you furious with us, I bet you are!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Good to see you, mate."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Come on, inside."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Sorry we haven't written, Harry, but Dumbledore made us promise not to."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","We wanted to, mate, we really did, but he thought they would get intercepted. There is an awkward silence."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Right."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","He thought you would be safest there."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","He was so angry when he heard. It was...scary..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","So, why's he keeping me in the dark?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Didn't you bother asking?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","We've only seen him twice, and not for very long. He's really busy."
"Harry Potter and the Order of the Phoenix","","Harry Potter","So I get to spend the summer with the Dursleys while you two are here."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","It's not that fun, mate. Mum won't let us anywhere near the meetings."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You've still been here!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's been going on?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","We've already told you, we're not privyed to the meetings. But we do know a few things."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Some of the Order are following known Death Eaters, like Lucious Malfoy."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's this Order everyone's talking about?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","You can come down now, the meeting's over."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Arthur-"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Well, the Ministry is furious with you."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Why?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","You'll have to go to an disciplinary meeting tomorrow."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Okay."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I'm not really hungry. I think I'll go to bed."
"Harry Potter and the Order of the Phoenix","","Sirius Black","You surprise me, Harry. I figured the first thing you'd do is start asking about Voldemort."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I wanted to, but I didn't think you'd tell me anything."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","And that was quite right, Harry! You're much to young--"
"Harry Potter and the Order of the Phoenix","","Sirius Black","He has a right to know, Molly."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","It's not your decision!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","I know what Dumbledore said, but he needs to know something."
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's not a child, Molly."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","He's not an adult either!"
"Harry Potter and the Order of the Phoenix","","Molly Weasley","I only have Harry's best interests at heart."
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's not your son."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Who else does he have, then?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's got me. He's like a son to me."
"Harry Potter and the Order of the Phoenix","","Sirius Black","What do you want to know, Harry?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Where's Voldemort? What's he doing?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's hiding for the moment, because the Ministry is ignoring his return and he doesn't want that to change."
"Harry Potter and the Order of the Phoenix","","Harry Potter","How?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","The last person You-Know-Who wanted to alert was Dumbledore."
"Harry Potter and the Order of the Phoenix","","Harry Potter","And what's his plan?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's building up his army again, just like before."
"Harry Potter and the Order of the Phoenix","","Harry Potter","And you're stopping him from gaining followers?"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","We're doing our best, but it's proving to be...difficult."
"Harry Potter and the Order of the Phoenix","","Sirius Black","You see, when the Ministry of Magic insists that Voldemort isn't back."
"Harry Potter and the Order of the Phoenix","","Harry Potter","But...why?"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","Fudge likes being Minister of Magic. If it turns out that Voldemort came back under his watch, he'll be sacked."
"Harry Potter and the Order of the Phoenix","","Harry Potter","But you're telling people, right?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Well, they think I'm a mass- murderer, Lupin is a werewolf, Tonks and Arthur would lose their jobs at the Ministry..."
"Harry Potter and the Order of the Phoenix","","Remus Lupin","But Dumbledore is doing all he can."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","If he keeps it up, he might end up in Azkaban. And that would give You- Know-Who a clear field to--"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
