"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Rolanda Hooch","Don't make me stupify you, Potter!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","My office. Now."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","In all my thirty-nine years at this school, I have never seen such a disgusting display."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Malfoy provoked us."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Of course he wanted to provoke you! He'd just lost!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","I cannot express in words the disappointment I feel right now."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","What is it, Dolores?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I thought you might need some additional authority in dealing with these two."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","You thought wrong. Now kindly remove yourself from my office."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Now, I don't care what Malfoy said. Your performance out there was shameful. Fifty points from Gryffindor, and I'm giving you both a week's worth of detentions."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I hardly think that's an adequate punishment for this."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Educational Decree Twenty-Five. It gives me, as High Inquisitor, the power to give punishments and privileges, and to alter those given out to students by other members of the staff."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","So, I think a life-long ban from playing quidditch should do the trick for both of these. Oh, and this one's twin as well. He was going to attack Malfoy as well."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Ban us...for life."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Yes, indeed, Mr. Potter."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Ah, I'll take your brooms as well."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Well, have a wonderful day."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You've--!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","My hands are tied, Potter."
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","I can't believe it...three players banned for life in one day..."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","I'm going to resign."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You can't!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","I'm horrible! I should never have joined."
"Harry Potter and the Order of the Phoenix","","Harry Potter","If you quit, we'll be out four players!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","This is the worst day of my life."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I know something that could cheer you up."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Hagrid's back!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hagrid, what happened to you?"
"Harry Potter and the Order of the Phoenix","","Rubeus Hagrid","I've fine, I tell yeh!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Come off it, Hagrid! We're not blind!"
"Harry Potter and the Order of the Phoenix","","Rubeus Hagrid","Can' answer tha', I'm afraid. Top secret, that is. Business of the Order."
"Harry Potter and the Order of the Phoenix","","Harry Potter","We know you were looking for giants, Hagrid. Dumbledore said so last year."
"Harry Potter and the Order of the Phoenix","","Rubeus Hagrid","Oh. Well, yeah, I was, then. Went with Madame Maxime. Took us a month to get to their camp."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","A month?"
"Harry Potter and the Order of the Phoenix","","Rubeus Hagrid","O' course! Can' do magic, not with the Ministry followin' us all the way. Plus, giants aren't fond o' wizards. Don' trust 'em."
"Harry Potter and the Order of the Phoenix","","Harry Potter","So what did you do when you found them?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","So...no giants are coming?"
"Harry Potter and the Order of the Phoenix","","Rubeus Hagrid","Well, not righ' away. We brought our message, an' I expec' a fair few'll remember it afore teh end comes."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Glad to see all of you could find this place all right."
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","Hey, Harry, what is all this stuff?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Loads of Defense Against the Dark Arts equipment. Hopefully we'll be able to get to all of it before the end of term."
"Harry Potter and the Order of the Phoenix","","Zacharias Smith","Oh please. Professor Lockhart taught us that in second year."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Lockhart didn't teach as much as prune himself."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Besides, it works. I used it against You-Know-Who last June. It saved my life."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Right. Well, let's split into pairs and give it a go."
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","Expelliarmus!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well done, Neville!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Look here, you lot! Neville's really got the hang of this one."
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","Expelliarmus!"
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","I did it! I did it!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Never forget this spell, Neville. It could save your live some day."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Okay, everyone. We've done a lot today, and I've seen some great improvement. That's it for now. We'll meet back here, same time next week!"
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","What's wrong with him?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Get McGonagall! Go!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Harry! HARRY!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Potter!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Wake up, Potter. Wake up. Please..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Mr. Weasley's been attacked!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","You dreamed this, Potter?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No, I saw it happen! I...I was there..."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","You're sure this happened, Potter?"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","We're going to see the Headmaster, Potter."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Professor McGonagall, and...ah..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","What can I do for you?"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Well, Potter has had some kind of nightmare..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","How did you see this? How were you positioned when you saw it?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Oh. Uh...I was the snake. I saw it from the snake's perspective."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Is Arthur seriously injured?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes!"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","You were listening?"
"Harry Potter and the Order of the Phoenix","","Everard","Naturally."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Raise the alarm. We must make sure Arthur is found by the right people."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Many of our previous headmasters and mistresses have portraits in other institutions, allowing them to move between them."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Fawkes, we will need a warning."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Naturally, naturally."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","What news?"
"Harry Potter and the Order of the Phoenix","","Everard","I shouted until someone came. They carried him up seconds ago. He doesn't look good. Covered in blood..."
"Harry Potter and the Order of the Phoenix","","Dilys Derwent","Dumbledore, I've just seen them arrive at St. Mungos. Apperated there moments ago. He looks really bad."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Good."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Minerva, the rest of the Weasleys will need to be awoken."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Phineas."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Phineas, I need you to visit your other portrait. Tell Sirius what happened and that we are coming to stay for a while."
"Harry Potter and the Order of the Phoenix","","Phineas","It's late, Dumbledore..."
"Harry Potter and the Order of the Phoenix","","Phineas","I'm going, I'm going..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","""Portus."""
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Harry, what's happening--"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Your father has been injured in the course of his work for the Order. He is alive and arrived at St. Mungo's Hospital for Magical Maladies and Injuries only moments ago."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","We, however, are going to Sirius's house until the morning. We're merely waiting for Phineas to return."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Fawkes's warning. Umbridge knows you're out of bed. Minerva, head her off. Tell her anything you can think of."
"Harry Potter and the Order of the Phoenix","","Phineas","He says he'd be delighted."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","We're going by Portkey."
"Harry Potter and the Order of the Phoenix","","Sirius Black","There you are."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","We've got to go to St. Mungo's."
"Harry Potter and the Order of the Phoenix","","Sirius Black","No, you can't."
"Harry Potter and the Order of the Phoenix","","George Weasley","We can go where we please."
"Harry Potter and the Order of the Phoenix","","Sirius Black","We can't go yet. It would look to suspicious if you lot showed up fifteen minutes after Arthur arrives because Harry's been seeing visions of things happening hundreds of miles from Hogwarts."
"Harry Potter and the Order of the Phoenix","","George Weasley","That's our father out there dying!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","I can't let you leave. I'm sorry."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","You don't even care! You wouldn't even understand!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","I was part of the first Order. I lost my best friends to You-Know- Who."
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's all I have left of them. Believe me, I don't want Arthur to die."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Mum!"
"Harry Potter and the Order of the Phoenix","","Molly Weasley",": Your father's alive. He's going to make it."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Sirius, I--"
"Harry Potter and the Order of the Phoenix","","Sirius Black","You can tell me, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","When I saw the attack, well, I was the snake."
"Harry Potter and the Order of the Phoenix","","Sirius Black","What?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I felt the fangs like they were mine, saw through the snake's eyes like they were mine..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I think I might be going mad."
"Harry Potter and the Order of the Phoenix","","Harry Potter","But what if there's a snake inside me?"
"Harry Potter and the Order of the Phoenix","","Nymphadora Tonks","We're here to see Arthur Weasley."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","This way, come on!"
"Harry Potter and the Order of the Phoenix","","Nymphadora Tonks","We'll wait outside at first, Molly. It should be family first."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Don't be silly, Harry. You too."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Hullo, everyone!"
"Harry Potter and the Order of the Phoenix","","Molly Weasley","How are you, dear?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","I am absolutely fine. If they could take the bandages off, I'd walk out of here in a jiffy."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","How come they haven't taken them off, then?"
"Harry Potter and the Order of the Phoenix","","George Weasley","What were you doing when it happened, dad?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","That's my own business."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","You were guarding it, weren't you? This weapon thing?"
"Harry Potter and the Order of the Phoenix","","Molly Weasley","That's enough!"
"Harry Potter and the Order of the Phoenix","","Molly Weasley",": Moody and Tonks are outside, Arthur. They'd like a word. She looks at her children."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","All of you, out, if you please."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Harry, stay a moment."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","I never thanked you properly."
"Harry Potter and the Order of the Phoenix","","Harry Potter","There's no need--"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","But there is, Harry. If you hadn't had your vision, no one would have found me in time. So...thank you."
"Harry Potter and the Order of the Phoenix","","Nymphadora Tonks","...we searched the whole floor, Arthur, but we couldn't find that snake. Why a snake, anyway?"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","He probably sent it as a lookout. See what he's up against. That's the closest he's ever gotten to it."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Yes. You know, Dumbledore seems like he's been waiting for something like this to happen. When I spoke to him this morning, he seemed very worried about Harry."
"Harry Potter and the Order of the Phoenix","","Alastor Moody","He should be. I mean, if You-Know-— Who is really possessing him..."
"Harry Potter and the Order of the Phoenix","","Gilderoy Lockhart","Hullo."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Professor Lockhart!"
"Harry Potter and the Order of the Phoenix","","Gilderoy Lockhart","Professor? Me? Did I really? Well, I expect I was hopeless at it! He rubs his hands together briskly."
"Harry Potter and the Order of the Phoenix","","Gilderoy Lockhart","Now, I'll expect all of you will be"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Uh, sure..."
"Harry Potter and the Order of the Phoenix","","Healer","Ah, there you went, Gildroy."
"Harry Potter and the Order of the Phoenix","","Healer","He keeps wandering off, handing out autographs, don't you know? It's a good sign toward recovering his memory, the poor dear."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Yeah, sorry about that, mate."
"Harry Potter and the Order of the Phoenix","","Gilderoy Lockhart","Have we met?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Yeah, it was my wand that backfired on you."
"Harry Potter and the Order of the Phoenix","","Healer","This is our long-term resident ward, for permanent spell damage. Well, I must go... She bustles away."
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","Come along, Neville."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Hey, Neville!"
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","Friends of yours, Neville?"
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","And you must be Miss Granger. Neville's mentioned you."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Who're you visiting, Neville?"
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","You haven't told them?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Told us what?"
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","Neville's dear parents were tortured into insanity by You-Know- Who before he disappeared. Aurors, you know, very well respected."
"Harry Potter and the Order of the Phoenix","","Alice Longbottom","Another one, Alice? All right, come"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I never knew...Poor Neville."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Are you all right, Harry dear? You look like you're going to be sick."
"Harry Potter and the Order of the Phoenix","","Phineas","Running away, are we?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I have to."
"Harry Potter and the Order of the Phoenix","","Phineas","You know, I thought Gryffindors had to be brave."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I won't hurt anybody else."
"Harry Potter and the Order of the Phoenix","","Phineas","I see. You are running away out of nobility. You know, that's why I hated teaching. Young people always think they know what's best, as if no one else could possibly understand things better."
"Harry Potter and the Order of the Phoenix","","Phineas","I've brought a message from Dumbledore."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What is it?"
"Harry Potter and the Order of the Phoenix","","Phineas","Dumbledore says, 'Stay where you are.'"
"Harry Potter and the Order of the Phoenix","","Phineas","When in all your life has listening to Dumbledore ever led you into trouble? Whatever his reasons, he has your best interests at heart, Potter."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Fine! Go! And tell Dumbledore thanks for nothing! He tips his trunk over in anger and sits down on the bed."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Get out!"
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","No."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Did you forget that I've been possessed by You-Know-Who before?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I forgot."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Lucky you. Anyway, that's what I wanted to talk to you about."
"Harry Potter and the Order of the Phoenix","","Harry Potter","No, I don't think so."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Then You-Know-Who has never possessed you, Harry."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","I don't know what's going on with you right now, but possession's not one of them. You're not dangerous."
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Don't mention it."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Harry, have you seen Kreacher? I haven't seen him for days now."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Haven't seen him."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Oh well. Maybe he's crawled up into the air ducts and died...mustn't get my hopes up though."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Potter, excellent. I'd like a word."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Sit, Potter."
"Harry Potter and the Order of the Phoenix","","Sirius Black","You know, I don't like people giving orders in my house."
"Harry Potter and the Order of the Phoenix","","Severus Snape","How unfortunate for you. Now kindly get out. My instructions from Dumbledore are to talk with Potter"
"Harry Potter and the Order of the Phoenix","","Sirius Black","I'm his godfather. I think I'll stay."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Very well, then. I know how you like to pretend you're useful."
"Harry Potter and the Order of the Phoenix","","Severus Snape","It is the Headmaster's wish that I teach you Occlumency, Potter."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's that?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","Occlumency. It is an ancient form of magic that allows you to defend your mind from external intrusion."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Well, unlike Sirius here, I don't have unlimited leisure time."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Just a second, Snape. If I hear that you're using this to give Harry a hard time, you'll have me to answer to."
"Harry Potter and the Order of the Phoenix","","Severus Snape","How touching. Yet Potter is incredibly like his father. Criticism simply bounces off of him."
"Harry Potter and the Order of the Phoenix","","Sirius Black","I've warned you, Snivellus. Dumbledore may think you've reformed, but I know better..."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Touch me one more time, Black, and you won't touch anything again."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Hi, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hi."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Er...bye then."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hey Cho!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, uh, Valentine's Day is the same day as our next Hogsmead visit."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, uh, would you like to, you know, go with me?"
"Harry Potter and the Order of the Phoenix","","Cho Chang","Sure!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Cool."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Sit, Potter."
"Harry Potter and the Order of the Phoenix","","Severus Snape","As you are well aware, I will be teaching you Occlumency. The headmaster feels you should learn this form of magic to defend yourself against the Dark Lord, who is skilled at Legilimency."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's that, Professor?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","Legilimency is the ability to extract thoughts and feelings from others."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Voldemort can read minds?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","As usual, you have all the subtlety of a stone wall, Potter."
"Harry Potter and the Order of the Phoenix","","Severus Snape","The mind is not a book, of which any page can be examined. The mind is complex and multi-layered."
"Harry Potter and the Order of the Phoenix","","Harry Potter","So he could read our minds right now?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","But hasn't it helped so far? I mean, it saved Mr. Weasley's life, didn't it?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","Yes, it did, but at the expense of our advantage. The connection between you was so powerful during your vision of the snake that the Dark Lord became aware of it. The Headmaster fears that he may try to use this to his advantage, to manipulate you through false visions."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Wand out, Potter."
"Harry Potter and the Order of the Phoenix","","Severus Snape","You may use any spell you can think of to try and repel me."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What are you going to do?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","I am going to break into your mind."
"Harry Potter and the Order of the Phoenix","","Harry Potter","No!"
"Harry Potter and the Order of the Phoenix","","Severus Snape","Well, you stopped me eventually. Ideally, you should repel me with your mind."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Clear your mind, Potter. Abandon"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Come on, Harry!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I've been there before..."
"Harry Potter and the Order of the Phoenix","","Severus Snape","What was that?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I've just realized..."
"Harry Potter and the Order of the Phoenix","","Severus Snape","Realized what, Potter?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's in the Department of Mysteries, sir?"
"Harry Potter and the Order of the Phoenix","","Severus Snape","What did you say?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","That corridor, I've been dreaming about it for months...it leads to the Department of Mysteries, I'm sure of it."
"Harry Potter and the Order of the Phoenix","","Severus Snape","There are many things in the Department of Mysteries, Potter, none of which concern you."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I can do whatever I wish!"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","This is my home!"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Not anymore."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Now remove yourself from this castle!"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I have the authority, Headmaster!"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Oh, I agree with you, Professor Umbridge. You do have the power to dismiss my teachers. However..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","-..-You cannot send them from this"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","And what of her quarters when I appoint a new teacher."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Happily, that will not be necessary. I have found a successor"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","...the Ministry can only appoint new teachers if I cannot find one. I think you will find him suitable enough."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","This is Firenze."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","So you're saying this weapon You- Know-Who's after is in the Department of Mysteries?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","It's got to be."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","That's got to be what Surgis Podmore was doing in the Ministry when he was arrested."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Probably. Mr. Weasley was probably there when he was attacked, too. That must be what the Order's guarding!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","But why the Department of Mysteries?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","It makes perfect sense, Ron. It's got to be something the Ministry's been developing. Something top secret."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Look at this. There's been a mass escape from Azkaban."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Bloody hell!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","They're all Death Eaters!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Yes."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Voldemort."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Hi, Harry!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Have fun, Harry. Meet me in The Three Broomsticks after. There's something you need to do."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Ok."
"Harry Potter and the Order of the Phoenix","","Cho Chang","You know, Cedric and I came here last year. Before..."
"Harry Potter and the Order of the Phoenix","","Cho Chang","I--I've been meaning to ask you for ages...but...I mean..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
"Harry Potter and the Order of the Phoenix","","Cho Chang","Did--did Cedric say anything about me before he...he--died?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Oh. Uh, no, there wasn't really much time... Cho bursts into tears. Harry tries to console her."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Look, maybe we should talk about something else..."
"Harry Potter and the Order of the Phoenix","","Cho Chang","I thought you'd want to talk about it! I thought you'd understand!"
"Harry Potter and the Order of the Phoenix","","Cho Chang","See you around, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's this all about?"
"Harry Potter and the Order of the Phoenix","","Rita Skeeter","That's what Little Miss Perfect was about to tell us."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Right, well, I figured that with all of the negative press out about Harry, he should have a chance to defend himself."
"Harry Potter and the Order of the Phoenix","","Rita Skeeter","The Prophet will never publish that. Goes against the public mood."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Well, it doesn't matter. We've found a publisher for the article."
"Harry Potter and the Order of the Phoenix","","Rita Skeeter","Who?"
"Harry Potter and the Order of the Phoenix","","Luna Lovegood","My father. He's the editor of The Quibbler."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Some won't believe Harry, that's true. But every person we do convince is one more ally."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","So, Harry. Ready to tell the public the truth?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Look, Harry! It's your article!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What on earth?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Fan mail, Harry! Responses to the article."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I have just published an article telling the real story about what happened last June."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Where is this article?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Right, I will confiscate this. Anyone found in possession of this magazine will be expelled."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","She's done it to herself. Banning"
"Harry Potter and the Order of the Phoenix","","Harry Potter","We've been doing so well, I thought"
"Harry Potter and the Order of the Phoenix","","Harry Potter","That was really good."
"Harry Potter and the Order of the Phoenix","","Dobby","Mr. Harry Potter!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What is it, Dobby?"
"Harry Potter and the Order of the Phoenix","","Dobby","She--"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Who, Dobby?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Is it Umbridge?"
"Harry Potter and the Order of the Phoenix","","Dobby","She knows, Harry Potter. She's coming!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Get out of here! Now!"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","Got you, Potter."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","It's him. Well done, Draco!"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Search everywhere for the others, Draco. Round them all up. Check everywhere, bathrooms, the library, empty classrooms. We must find them!"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","You may be High Inquisitor of this school, Professor Umbridge, but kindly do not manhandle my students."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Well, well, well, Mr. Potter! I expect you know why you're here?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Not really, no."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","You don't? You haven't broken any school rules?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","School rules? No."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Or Ministerial Decrees?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Not that I know of."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Since I had received information some time ago that Potter and a number of other students had met in the Hog's Head to start an illegal group--"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","I'm not sure that's true, Professor."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I'm sorry?"
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","In point of fact, when young Potter met those students it was not illegal."
